 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0930
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.7460
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           947
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
   160        0.0227        0.7460        0.7753        0.5784      -98.9795      -98.9795
   161        0.0205        0.7460        0.7922        0.5910      -98.9795      -98.9795
   162        0.0136        0.7460        0.8007        0.5973      -98.9795      -98.9795
   163        0.0014        0.7460        0.8007        0.5973      -98.9795      -98.9795
   164        0.0039        0.7460        0.8013        0.5978      -98.9795      -98.9795
   165        0.0011        0.7460        0.8013        0.5978      -98.9795      -98.9795
   166        0.0149        0.7460        0.8109        0.6049      -98.9795      -98.9795
   167        0.0042        0.7460        0.8116        0.6055      -98.9795      -98.9795
   168        0.0067        0.7460        0.8139        0.6072      -98.9795      -98.9795
   169        0.0042        0.7460        0.8146        0.6077      -98.9795      -98.9795
   170        0.0003        0.7460        0.8146        0.6077      -98.9795      -98.9795
   171        0.0087        0.7460        0.8183        0.6105      -98.9795      -98.9795
   172        0.0001        0.7460        0.8183        0.6105      -98.9795      -98.9795
   173        0.0082        0.7460        0.8216        0.6129      -98.9795      -98.9795
   174        0.0092        0.7460        0.8256        0.6159      -98.9795      -98.9795
   175        0.0029        0.7460        0.8257        0.6160      -98.9795      -98.9795
   176        0.0164        0.7460        0.8363        0.6239      -98.9795      -98.9795
   177        0.0007        0.7460        0.8363        0.6239      -98.9795      -98.9795
   178        0.0004        0.7460        0.8363        0.6239      -98.9795      -98.9795
   179        0.0028        0.7460        0.8363        0.6239      -98.9795      -98.9795
   180        0.0012        0.7460        0.8363        0.6239      -98.9795      -98.9795
   181        0.0007        0.7460        0.8363        0.6239      -98.9795      -98.9795
   182        0.0002        0.7460        0.8363        0.6239      -98.9795      -98.9795
   183        0.0011        0.7460        0.8363        0.6239      -98.9795      -98.9795
   184        0.0016        0.7460        0.8363        0.6239      -98.9795      -98.9795
   185        0.0019        0.7460        0.8363        0.6239      -98.9795      -98.9795
   186        0.0009        0.7460        0.8363        0.6239      -98.9795      -98.9795
   187        0.0014        0.7460        0.8363        0.6239      -98.9795      -98.9795
   188        0.0013        0.7460        0.8363        0.6239      -98.9795      -98.9795
   189        0.0082        0.7460        0.8395        0.6262      -98.9795      -98.9795
   190        0.0022        0.7460        0.8395        0.6262      -98.9795      -98.9795
   191        0.0005        0.7460        0.8395        0.6262      -98.9795      -98.9795
   192        0.0004        0.7460        0.8395        0.6262      -98.9795      -98.9795
   193        0.0005        0.7460        0.8395        0.6262      -98.9795      -98.9795
   194        0.0205        0.7460        0.8540        0.6371      -98.9795      -98.9795
   195        0.0009        0.7460        0.8540        0.6371      -98.9795      -98.9795
   196        0.0001        0.7460        0.8540        0.6371      -98.9795      -98.9795
   197        0.0025        0.7460        0.8540        0.6371      -98.9795      -98.9795
   198        0.0010        0.7460        0.8540        0.6371      -98.9795      -98.9795
   199        0.0253        0.7460        0.8734        0.6516      -98.9795      -98.9795
   200        0.0050        0.7460        0.8743        0.6522      -98.9795      -98.9795
   201        0.0062        0.7460        0.8759        0.6534      -98.9795      -98.9795
   202        0.0024        0.7460        0.8759        0.6534      -98.9795      -98.9795
   203        0.0018        0.7460        0.8759        0.6534      -98.9795      -98.9795
   204        0.0019        0.7460        0.8759        0.6534      -98.9795      -98.9795
   205        0.0007        0.7460        0.8759        0.6534      -98.9795      -98.9795
   206        0.0031        0.7460        0.8760        0.6535      -98.9795      -98.9795
   207        0.0001        0.7460        0.8760        0.6535      -98.9795      -98.9795
   208        0.0159        0.7460        0.8849        0.6601      -98.9795      -98.9795
   209        0.0092        0.7460        0.8883        0.6627      -98.9795      -98.9795
   210        0.0008        0.7460        0.8883        0.6627      -98.9795      -98.9795
   211        0.0011        0.7460        0.8883        0.6627      -98.9795      -98.9795
   212        0.0023        0.7460        0.8883        0.6627      -98.9795      -98.9795
   213        0.0019        0.7460        0.8883        0.6627      -98.9795      -98.9795
   214        0.0120        0.7460        0.8937        0.6667      -98.9795      -98.9795
   215        0.0001        0.7460        0.8937        0.6667      -98.9795      -98.9795
   216        0.0078        0.7460        0.8961        0.6685      -98.9795      -98.9795
   217        0.0016        0.7460        0.8961        0.6685      -98.9795      -98.9795
   218        0.0002        0.7460        0.8961        0.6685      -98.9795      -98.9795
