 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0450
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.1980
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           914
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
   223        0.0025        0.1980        0.7711        0.1527      -98.9795      -98.9795
   224        0.0011        0.1980        0.7711        0.1527      -98.9795      -98.9795
   225        0.0088        0.1980        0.7801        0.1545      -98.9795      -98.9795
   226        0.0011        0.1980        0.7801        0.1545      -98.9795      -98.9795
   227        0.0001        0.1980        0.7801        0.1545      -98.9795      -98.9795
   228        0.0005        0.1980        0.7801        0.1545      -98.9795      -98.9795
   229        0.0002        0.1980        0.7801        0.1545      -98.9795      -98.9795
   230        0.0004        0.1980        0.7801        0.1545      -98.9795      -98.9795
   231        0.0001        0.1980        0.7801        0.1545      -98.9795      -98.9795
   232        0.0106        0.1980        0.7932        0.1570      -98.9795      -98.9795
   233        0.0020        0.1980        0.7932        0.1570      -98.9795      -98.9795
   234        0.0010        0.1980        0.7932        0.1570      -98.9795      -98.9795
   235        0.0041        0.1980        0.7932        0.1570      -98.9795      -98.9795
   236        0.0005        0.1980        0.7932        0.1570      -98.9795      -98.9795
   237        0.0004        0.1980        0.7932        0.1570      -98.9795      -98.9795
   238        0.0003        0.1980        0.7932        0.1570      -98.9795      -98.9795
   239        0.0018        0.1980        0.7932        0.1570      -98.9795      -98.9795
   240        0.0030        0.1980        0.7932        0.1570      -98.9795      -98.9795
   241        0.0006        0.1980        0.7932        0.1570      -98.9795      -98.9795
   242        0.0018        0.1980        0.7932        0.1570      -98.9795      -98.9795
